"Timestamp","Name (Optional)","Age","Gender","What devices do you have?","How frequently do you use this devices in studying?","What search engine do you use in making your activities or assignments?","How important is Internet Connection to you?","Do you have an academic award last school year?"
"2021/09/14 11:03:17 PM GMT+8","","18 and above","Male","Smartphone;Laptop","Very Frequently","Google Chrome","Important","Yes"
"2021/09/15 12:26:22 AM GMT+8","","14-17","Female","Smartphone;Laptop","Always","Google Chrome","Very Important","Yes"
"2021/09/15 12:26:39 AM GMT+8","","14-17","Male","Smartphone","Occationally","Google Chrome","Moderately Important","No"
"2021/09/15 12:26:52 AM GMT+8","","14-17","Male","Smartphone;Laptop","Always","Google Chrome","Very Important","Yes"
"2021/09/15 12:28:10 AM GMT+8","","14-17","Male","Smartphone;Laptop;Computer","Always","Google Chrome","Very Important","Yes"
"2021/09/15 12:29:30 AM GMT+8","","18 and above","Female","Smartphone;Laptop;Computer","Always","Google Chrome","Important","Yes"
"2021/09/16 1:17:37 AM GMT+8","","14-17","Male","Smartphone;Computer","Rarely","Google Chrome","Very Important","Yes"
"2021/09/16 1:18:05 AM GMT+8","","18 and above","Female","Smartphone;Laptop","Always","Google Chrome","Very Important","Yes"
"2021/09/16 1:18:56 AM GMT+8","","14-17","Female","Smartphone;Computer","Always","Google Chrome","Very Important","Yes"
"2021/09/16 1:19:21 AM GMT+8","","18 and above","Male","Smartphone","Very Frequently","Google Chrome","Important","No"
"2021/09/16 4:30:49 AM GMT+8","","18 and above","Male","Smartphone;Laptop","Always","Google Chrome","Moderately Important","Yes"
"2021/09/16 4:31:07 AM GMT+8","","14-17","Male","Smartphone","Occationally","Google Chrome","Moderately Important","No"
"2021/09/16 4:31:43 AM GMT+8","","18 and above","Male","Smartphone;Laptop;Computer","Always","Google Chrome","Very Important","Yes"
"2021/09/16 4:33:58 AM GMT+8","","18 and above","Female","Smartphone","Always","Google Chrome","Very Important","Yes"
"2021/09/16 4:35:55 AM GMT+8","","18 and above","Female","Smartphone","Always","Google Chrome","Important","Yes"
